cell id, neuron length (m), surface area (m^2), axial resistance (Ohm), membrane capacitance (F), membrane resistance (Ohm)
AWAR,0.000157679328314,2.67797678966e-10,1273985488.52,2.69897459805e-12,1.39586062598e+14
AWBL,0.000157688864497,2.60206788396e-10,1329392807.61,2.64025037066e-12,1.51827872181e+14
AWBR,0.000157640997431,2.57395158119e-10,1443732106.53,2.57441264096e-12,1.47943797602e+14
AWCL,0.000164393731757,2.6444088042e-10,1471171520.23,2.699845421e-12,1.375185008e+14
AWCR,0.000164471450234,2.63129851582e-10,1505625495.24,2.69199509203e-12,1.36954237276e+14
BAGL,0.000184699320919,3.34026321535e-10,1322451425.87,3.48658698673e-12,1.12150876401e+14
BAGR,0.000184678527982,3.24892364028e-10,1402379578.74,3.32220618089e-12,1.10869363559e+14
BDUL,0.000132751848978,2.84033445873e-10,651343796.529,2.86317712332e-12,1.75536275168e+14
BDUR,0.000132756736452,2.87459618225e-10,646709400.197,2.8768819982e-12,1.75068724415e+14
CANL,0.00105832929981,4.04493903659e-09,1589974122.95,4.28322614531e-11,6.86974785555e+13
CANR,0.00106091084691,4.06143722055e-09,1590779941.28,4.29586542263e-11,6.6169909699e+13
CEPDL,0.000175698707193,3.04073057084e-10,1853769481.35,2.84791919615e-12,3.44204729912e+14
CEPDR,0.000175684497921,3.09029081606e-10,1676312995.53,2.94811068078e-12,3.31039916353e+14
CEPVL,0.000180310950663,2.42356576845e-10,2359597655.49,2.407802148e-12,2.2829117192e+14
CEPVR,0.000180297744888,2.2707285596e-10,2707562656.43,2.26955529964e-12,2.38088392985e+14
DA01,0.000271142266435,5.15864055729e-10,1713623956.73,5.20285825878e-12,5.51351968588e+13
DA02,0.000379978605509,6.85930474258e-10,2565173496.07,7.07517556103e-12,6.95587967612e+13
DA03,0.000562969806874,1.05535452896e-09,3884526209.39,1.07301527464e-11,4.18846623562e+13
DA04,0.000734809828161,1.30580242204e-09,5631113113.28,1.3098440375e-11,5.02645424173e+13
DA05,0.000906478878048,1.77350503531e-09,5779118483.19,1.93042988002e-11,5.69861924653e+13
DA06,0.00107244375198,2.06131757538e-09,6941832206.92,2.26292369209e-11,1.00745081845e+14
DA07,0.00102425244977,2.03051881633e-09,6244509972.58,2.26887327599e-11,6.44334750777e+13
DA08,0.000363828890426,6.09677395628e-10,3924993582.21,5.7362856024e-12,1.83627389404e+14
DA09,0.000363828837705,6.21236224447e-10,3611643034.45,5.95075248172e-12,1.85552744164e+14
DB01,0.00147162686106,2.8273842843e-09,9850777086.03,3.05085756202e-11,1.70763093139e+14
DB02,0.0014231354776,2.50419134935e-09,10804517258.3,2.47789717788e-11,9.49664647113e+13
DB03,0.00129510008089,2.44563709937e-09,7934242680.19,2.55592671926e-11,6.5730933188e+13
DB04,0.00125553572301,2.52209680368e-09,7609997315.86,2.76102726045e-11,7.48050065062e+13
DB05,0.00104058626441,1.91497496193e-09,7466926610.84,1.98604133109e-11,5.95759382489e+13
DB06,0.00059431593362,1.0866080583e-09,4166739277.9,1.10694145822e-11,6.29022680921e+13
DB07,0.000386820750181,7.41347584869e-10,2514516291.65,7.89854695233e-12,4.78122537161e+13
DD01,0.000319382578402,5.82217533582e-10,2184019640.78,6.01460910091e-12,7.02925232999e+13
DD02,0.000429639863239,7.79713748541e-10,3259614948.03,7.93766005888e-12,1.09806340319e+14
DD03,0.000672143509273,1.12052851542e-09,5680745697.28,1.12944387942e-11,1.03293217128e+14
DD04,0.000915739747471,1.51918947769e-09,8674806369.77,1.4988377197e-11,1.20261987765e+14
DD05,0.000625443809843,1.08125972273e-09,5602568058.9,1.07737733889e-11,1.17847096757e+14
DD06,0.000668177902787,1.17547151215e-09,5224927392.68,1.19478797835e-11,1.30801900496e+14
DVA,0.000785875841336,1.16905408463e-09,8079543772.71,1.16884937875e-11,2.27398898562e+14
DVB,0.000315896547734,4.51238153363e-10,3577977133.58,4.49831336492e-12,1.3362857876e+14
DVC,0.000782599735748,1.17082365942e-09,7980621570.86,1.16937833512e-11,1.53639288367e+14
FLPL,0.000277854634529,4.28192491737e-10,2752219245.52,4.35676279373e-12,2.5457641917e+14
FLPR,0.000277860362532,4.19411139438e-10,2919147677.41,4.2434713254e-12,2.5809285146e+14
HSNL,0.000453412409339,6.59041048838e-10,5120292930.03,6.55334446691e-12,1.45947123085e+14
HSNR,0.000454975003115,6.62176318677e-10,5061711710.78,6.60952868777e-12,1.45151699172e+14
I01L,9.9187782161e-05,1.30373288359e-10,1326320753.02,1.33317830994e-12,6.06820524864e+14
I01R,9.91994998335e-05,1.30659012731e-10,1322682174.93,1.31310891695e-12,6.32679830597e+14
I02L,9.59652114519e-05,1.4209606123e-10,1108957824.76,1.45786361608e-12,7.35178534437e+14
I02R,9.60142625731e-05,1.33971451234e-10,1437492401.83,1.36055692233e-12,7.57360241351e+14
I03,0.000112092353498,1.49284388099e-10,1410752765.22,1.5036233345e-12,1.29001133915e+14
I04,0.000142890663868,2.49230418997e-10,1105583431.38,2.47949634598e-12,3.56088888673e+14
I05,0.000311535506481,5.91160625605e-10,2234617077.0,5.83637539866e-12,6.79552761524e+14
I06,8.49011975955e-05,1.46729758786e-10,767506173.289,1.4818685066e-12,1.69561388147e+14
IL01DL,0.000165195023142,2.86011080717e-10,1437003763.46,2.72997948698e-12,1.0961923e+14
IL01DR,0.000152492788544,2.76158691279e-10,1188860302.67,2.66576375274e-12,1.08071536785e+14
IL01L,0.000183746345172,2.95032425004e-10,2011210600.74,2.75916138086e-12,1.59924469542e+14
IL01R,0.000183732338784,2.9861722957e-10,1861571978.66,2.82757368121e-12,1.59778202097e+14
IL01VL,0.00015589560506,2.12208501383e-10,1910613696.08,2.12918860377e-12,1.68091360195e+14
IL01VR,0.000155873271845,2.02102335745e-10,1993194685.79,2.09792036921e-12,1.77610129005e+14
IL02DL,0.000100364297671,2.02452612601e-10,603294107.197,2.08532164825e-12,1.22260453675e+14
IL02DR,0.000100330970124,1.98314235198e-10,637961477.618,2.03076441222e-12,1.22537510452e+14
IL02L,0.000147956732637,2.74634977551e-10,958531026.473,2.87777869469e-12,9.27946938357e+13
IL02R,0.000147977489813,2.6628117795e-10,1075611233.49,2.71904919943e-12,9.17161560496e+13
IL02VL,0.000150621768521,2.20860449171e-10,1527361406.29,2.32473825969e-12,7.71871505998e+13
IL02VR,0.000150584856131,2.10518199475e-10,1655652215.47,2.27739487004e-12,8.02850737621e+13
